course,class_number,enrolled,limit,meetingNumber,facilityId,facilityType,facilityDescription,facilityDescriptionShort,facilityGroup,facilityCapacity,buildingCode,room,buildingDescription,buildingDescriptionShort,startTime,endTime,startDate,endDate,monday,tuesday,wednesday,thursday,friday,saturday,sunday,standingMeetingPattern,term,catalogId,classTitle,classNumber,section,sectionEnrollment,Latitude,Longitude
ECON 8732,25228,32,35,1,JR0239,1B,Journalism Building,Journalism,False,54,046,239,Journalism Bldg 239,JR 239,9:35 am,10:55 am,2025-01-06,2025-04-21,False,False,False,False,True,False,False,,Spring 2025,ECON 8732,Econometrics II,25228,102,32,40.00199533,-83.01504486
ECON 8733,30457,14,15,1,UH0056,1B,University Hall,U Hall,False,40,339,056,University Hall 056,UH 056,2:15 pm,5:00 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,ECON 8733,Econometrics III,30457,100,14,40.00052277,-83.01443196
ECON 8818,36714,6,10,1,SON0044,1B,Scott Laboratory,Scott Lab,False,20,148,N044,Scott Lab N044,SO N044,11:10 am,12:30 pm,2025-01-06,2025-04-21,True,False,True,False,False,False,False,,Spring 2025,ECON 8818,Advanced Economic Theory III,36714,100,6,40.00231227,-83.01417566
ECON 8823,25225,7,10,1,CZ0330,1B,Cunz Hall,Cunz Hall,False,30,293,330,Cunz Hall 330,CZ 330,11:10 am,12:30 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,TR,Spring 2025,ECON 8823,Advanced Macroeconomics III,25225,101,7,39.99865913,-83.01703571
ECON 8830,28260,10,12,1,BE0272,1B,Baker Systems Engineering,Baker Sys,False,20,280,272,Baker Systems 272,BE 272,11:10 am,12:30 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,TR,Spring 2025,ECON 8830,Advanced Econometrics I,28260,101,10,40.00159622,-83.01591664
ECON 8853,27705,6,20,1,SH0245,1B,Stillman Hall,Stillman,False,36,084,245,Stillman Hall 245,SH 245,9:35 am,10:55 am,2025-01-06,2025-04-21,False,True,False,True,False,False,False,TR,Spring 2025,ECON 8853,Labor Economics III,27705,101,6,40.00186513,-83.01099502
ECON 8863,26715,6,10,1,SH0131,1B,Stillman Hall,Stillman,False,30,084,131,Stillman Hall 131,SH 131,8:00 am,10:50 am,2025-01-06,2025-02-21,False,True,False,True,False,False,False,TR,Spring 2025,ECON 8863,International Economics III,26715,101,6,40.00186513,-83.01099502
ECON 8875,28261,6,15,1,AP0012,1B,Arps Hall,Arps Hall,False,63,011,012,Arps Hall 012,AP 012,11:10 am,12:30 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,TR,Spring 2025,ECON 8875,Experimental & Behavioral Economics,28261,101,6,40.00193109,-83.00946551
ECON 8876,28999,15,15,1,AP0386,1B,Arps Hall,Arps Hall,False,20,011,386,Arps Hall 386,AP 386,12:45 pm,2:05 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,ECON 8876,Industrial Organization IV: Empirical Research Methods,28999,100,15,40.00193109,-83.00946551
ECON 8891.01,19508,10,30,1,AP0437,5K,Arps Hall,Arps Hall,False,30,011,437,Arps Hall 437,AP 437,3:30 pm,5:00 pm,2025-01-06,2025-04-21,False,False,False,False,True,False,False,,Spring 2025,ECON 8891.01,Economic Theory Seminar,19508,101,10,40.00193109,-83.00946551
ECON 8891.03,19509,3,30,1,AP0437,5K,Arps Hall,Arps Hall,False,30,011,437,Arps Hall 437,AP 437,12:20 pm,1:20 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,ECON 8891.03,Colloquium in Economic Theory,19509,101,3,40.00193109,-83.00946551
ECON 8892.01,19510,6,30,1,RA0100,1C,Ramseyer Hall,Ramseyer,False,79,090,100,Ramseyer Hall 100,RA 100,3:30 pm,5:00 pm,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,ECON 8892.01,Macroeconomics Seminar,19510,101,6,40.00330585,-83.00963518
ECON 8892.03,19512,6,30,1,RA0166,1B,Ramseyer Hall,Ramseyer,False,32,090,166,Ramseyer Hall 166,RA 166,2:30 pm,4:00 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,ECON 8892.03,Colloquium in Macroeconomics,19512,101,6,40.00330585,-83.00963518
ECON 8893.01,19513,6,30,1,AP0437,5K,Arps Hall,Arps Hall,False,30,011,437,Arps Hall 437,AP 437,3:30 pm,5:00 pm,2025-01-06,2025-04-21,True,False,False,False,False,False,False,,Spring 2025,ECON 8893.01,Econometrics Seminar,19513,101,6,40.00193109,-83.00946551
ECON 8894.02,19520,5,30,1,AP0437,5K,Arps Hall,Arps Hall,False,30,011,437,Arps Hall 437,AP 437,11:15 am,12:15 pm,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,ECON 8894.02,Workshop in Applied Microeconomics,19520,101,5,40.00193109,-83.00946551
ECON 8894.03,27709,2,30,1,AP0437,5K,Arps Hall,Arps Hall,False,30,011,437,Arps Hall 437,AP 437,3:30 pm,5:30 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,ECON 8894.03,Colloquium in Applied Microeconomics,27709,101,2,40.00193109,-83.00946551
MVNGIMG 2202,26756,33,48,1,SOE0125,1C,Scott Laboratory,Scott Lab,False,72,148,E125,Scott Lab E125,SO E125,2:20 pm,3:40 pm,2025-01-06,2025-04-21,True,False,False,False,False,False,False,,Spring 2025,MVNGIMG 2202,Filmmaking Foundation II,26756,0100,33,40.00231227,-83.01417566
MVNGIMG 2202,27231,3,16,1,CL0102,1B,Caldwell Laboratory,Caldwell,False,21,026,102,Caldwell Lab 102,CL 102,9:10 am,11:50 am,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,MVNGIMG 2202,Filmmaking Foundation II,27231,0101,33,40.00243311,-83.01503371
MVNGIMG 2202,27230,14,16,1,CL0102,1B,Caldwell Laboratory,Caldwell,False,21,026,102,Caldwell Lab 102,CL 102,12:05 pm,2:45 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,MVNGIMG 2202,Filmmaking Foundation II,27230,0102,33,40.00243311,-83.01503371
MVNGIMG 2202,26757,16,16,1,DE0262,1B,Denney Hall,Denney,False,24,030,262,Denney Hall 262,DE 262,3:00 pm,5:40 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,MVNGIMG 2202,Filmmaking Foundation II,26757,0103,33,40.00130993,-83.01252836
MVNGIMG 4502,27740,17,17,1,TFM0210,1A,"Theatre, Film and Media Arts Building",TFM,False,27,1025,210,"Theatre, Film & Media Arts 210",TFM 210,9:15 am,12:00 pm,2025-01-06,2025-04-21,True,False,False,False,False,False,False,,Spring 2025,MVNGIMG 4502,Senior Project II,27740,10,17,40.0017902410817,-83.0101716327005
ESWDE 5189.04,14544,19,45,1,PEA0145,1B,Physical Activity and Education Services - PAES,PAES,False,50,245,A145,PAES Bldg A145,PE A145,5:05 pm,7:05 pm,2025-01-06,2025-04-21,False,False,False,True,False,False,False,,Spring 2025,ESWDE 5189.04,Career and Technical Education Clinical Field Experience II,14544,0020,12,39.99983294,-83.01723863
ESWDE 5189.04,14543,12,45,1,PEA0145,1B,Physical Activity and Education Services - PAES,PAES,False,50,245,A145,PAES Bldg A145,PE A145,5:05 pm,7:05 pm,2025-01-06,2025-04-21,False,False,False,True,False,False,False,,Spring 2025,ESWDE 5189.04,Career and Technical Education Clinical Field Experience II,14543,0020,12,39.99983294,-83.01723863
ESWDE 5624,14548,12,30,1,PEA0109,1B,Physical Activity and Education Services - PAES,PAES,False,36,245,A109,PAES Bldg A109,PE A109,4:30 pm,7:15 pm,2025-01-06,2025-04-21,False,False,False,True,False,False,False,,Spring 2025,ESWDE 5624,Foundations of Workforce Development and Education,14548,0010,14,39.99983294,-83.01723863
ESWDE 5624,14547,14,30,1,PEA0109,1B,Physical Activity and Education Services - PAES,PAES,False,36,245,A109,PAES Bldg A109,PE A109,4:30 pm,7:15 pm,2025-01-06,2025-04-21,False,False,False,True,False,False,False,,Spring 2025,ESWDE 5624,Foundations of Workforce Development and Education,14547,0010,14,39.99983294,-83.01723863
ESWDE 5655,14524,8,30,1,PEA0143,6L,Physical Activity and Education Services - PAES,PAES,False,35,245,A143,PAES Bldg A143,PE A143,4:30 pm,7:15 pm,2025-01-06,2025-04-21,True,False,False,False,False,False,False,,Spring 2025,ESWDE 5655,Coordination of Work-Based Learning for Career and Technical Education,14524,0010,8,39.99983294,-83.01723863
ESWDE 5655,14525,8,30,1,PEA0143,6L,Physical Activity and Education Services - PAES,PAES,False,35,245,A143,PAES Bldg A143,PE A143,4:30 pm,7:15 pm,2025-01-06,2025-04-21,True,False,False,False,False,False,False,,Spring 2025,ESWDE 5655,Coordination of Work-Based Learning for Career and Technical Education,14525,0010,8,39.99983294,-83.01723863
ESWDE 5667,14526,23,38,1,PEA0145,1B,Physical Activity and Education Services - PAES,PAES,False,50,245,A145,PAES Bldg A145,PE A145,4:30 pm,7:15 pm,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,ESWDE 5667,Curriculum/Instruction and Assessment in Career and Technical Education,14526,0010,15,39.99983294,-83.01723863
ESWDE 5667,14527,15,38,1,PEA0145,1B,Physical Activity and Education Services - PAES,PAES,False,50,245,A145,PAES Bldg A145,PE A145,4:30 pm,7:15 pm,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,ESWDE 5667,Curriculum/Instruction and Assessment in Career and Technical Education,14527,0010,15,39.99983294,-83.01723863
RUSSIAN 1101.01,21787,7,20,1,EC0204,1B,Enarson Classroom Building,EnrsnClsrm,False,24,072,204,Enarson Classroom Bldg 204,EC 204,9:10 am,10:05 am,2025-01-06,2025-04-21,False,True,True,True,True,False,False,,Spring 2025,RUSSIAN 1101.01,1st-Year Russian I (Classroom Track),21787,0010,7,40.00216943,-83.01683347
RUSSIAN 1101.01,27784,8,20,1,JR0221,1B,Journalism Building,Journalism,False,26,046,221,Journalism Bldg 221,JR 221,11:30 am,12:25 pm,2025-01-06,2025-04-21,False,True,True,True,True,False,False,,Spring 2025,RUSSIAN 1101.01,1st-Year Russian I (Classroom Track),27784,0030,7,40.00199533,-83.01504486
RUSSIAN 1102.01,21785,8,18,1,EC0248,1B,Enarson Classroom Building,EnrsnClsrm,False,22,072,248,Enarson Classroom Bldg 248,EC 248,9:10 am,10:05 am,2025-01-06,2025-04-21,False,True,True,True,True,False,False,,Spring 2025,RUSSIAN 1102.01,Elementary Russian II (Classroom Track),21785,0010,8,40.00216943,-83.01683347
RUSSIAN 1102.01,28849,6,18,1,EC0204,1B,Enarson Classroom Building,EnrsnClsrm,False,24,072,204,Enarson Classroom Bldg 204,EC 204,11:30 am,12:25 pm,2025-01-06,2025-04-21,False,True,True,True,True,False,False,,Spring 2025,RUSSIAN 1102.01,Elementary Russian II (Classroom Track),28849,0020,8,40.00216943,-83.01683347
RUSSIAN 1103.01,21789,7,20,1,JR0221,1B,Journalism Building,Journalism,False,26,046,221,Journalism Bldg 221,JR 221,9:10 am,10:05 am,2025-01-06,2025-04-21,False,True,True,True,True,False,False,TWRF,Spring 2025,RUSSIAN 1103.01,Intermediate Russian I (Classroom Track),21789,0010,7,40.00199533,-83.01504486
RUSSIAN 1201,35006,2,10,1,DU0012,1B,Dulles Hall,Dulles,False,25,337,012,Dulles Hall 012,DU 012,3:00 pm,3:55 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,RUSSIAN 1201,Basic Russian Phonetics through Children?s Poetry and Songs,35006,10,2,40.00110502,-83.01440883
RUSSIAN 1202,35007,1,10,1,HH0045,1B,Hagerty Hall,Hagerty,False,20,037,045,Hagerty Hall 045,HH 045,1:00 pm,1:55 pm,2025-01-06,2025-04-21,False,False,False,False,True,False,False,,Spring 2025,RUSSIAN 1202,Basic Reading in Russian Culture,35007,10,1,39.99860531,-83.01030783
RUSSIAN 1203,35008,2,10,1,DB0047,1A,Derby Hall,Derby,False,11,025,047,Derby Hall 047,DB 047,1:00 pm,1:55 pm,2025-01-06,2025-04-21,False,False,True,False,False,False,False,,Spring 2025,RUSSIAN 1203,Russian Culture Through Children?s Literature,35008,10,2,40.00075608,-83.01242693
RUSSIAN 1205,35009,4,10,1,EC0348,1A,Enarson Classroom Building,EnrsnClsrm,False,14,072,348,Enarson Classroom Bldg 348,EC 348,1:00 pm,1:55 pm,2025-01-06,2025-04-21,False,True,False,False,False,False,False,,Spring 2025,RUSSIAN 1205,"Russian through Posters, Propaganda, and Poetry",35009,10,4,40.00216943,-83.01683347
RUSSIAN 2104.01,21744,9,18,1,JR0143,1B,Journalism Building,Journalism,False,28,046,143,Journalism Bldg 143,JR 143,9:10 am,10:05 am,2025-01-06,2025-04-21,False,True,True,True,True,False,False,,Spring 2025,RUSSIAN 2104.01,Intermediate Russian II (Classroom Track),21744,0010,9,40.00199533,-83.01504486
